ID,postText,question,answer,creation_time,prior,positive_feedback,negative_feedback,posterior,normalized_question,source,timestamp
1.0,EYES HERE ALL STUDENTS Your updated First Semester AY 20242025 is out complete with room assignments If you have any questions please don't hesitate to reach out at ccsstax@gmail.com Thank you,who should i contact for questions?,You can reach out to ccsstax@gmail.com for any questions you may have.,20/09/2024,0.0002239140170174,0,0,0.01,who should i contact for questions?,FAQ,
2.0,URGENT MEETING Calling the attention of all newly elected officers for BSIT and BSCS program we will be having an urgent meeting today at 3:00 PM with Dean Aim D Sky. Join Zoom Meeting: Meeting ID: 989 9807 0130 Passcode: 806127,what if i can’t attend the meeting?,"If you can't make it, reach out to Dean Aim D Sky as soon as possible. The meeting might have key details you'll need.",20/09/2024,0.0002239140170174,0,0,0.01,what if i can’t attend the meeting?,FAQ,
3.0,URGENT MEETING Calling the attention of all newly elected officers for BSIT and BSCS program we will be having an urgent meeting today at 3:00 PM with Dean Aim D Sky. Join Zoom Meeting: Meeting ID: 989 9807 0130 Passcode: 806127,when is the meeting?,"The meeting will be today September 20,2024 at 3:00 PM. Don't forget to check for details on the announcement area or the official CCS Facebook page.",20/09/2024,0.0002239140170174,0,0,0.01,when is the meeting?,FAQ,
4.0,EYES HERE ALL STUDENTS Your updated First Semester AY 20242025 is out complete with room assignments If you have any questions please don't hesitate to reach out at ccsstax@gmail.com Thank you,what should i do if i have questions?,"If you have questions, please contact ccsstax@gmail.com.",20/09/2024,0.0002239140170174,0,0,0.01,what should i do if i have questions?,FAQ,
5.0,EYES HERE ALL STUDENTS Your updated First Semester AY 20242025 is out complete with room assignments If you have any questions please don't hesitate to reach out at ccsstax@gmail.com Thank you,what is the update about?,"The update is about the First Semester AY 2024-2025. Room assignments are now available. Kung may tanong ka, feel free to reach out to ccsstax@gmail.com.",20/09/2024,0.0002239140170174,0,0,0.01,what is the update about?,FAQ,
6.0,EYES HERE ALL STUDENTS Your updated First Semester AY 20242025 is out complete with room assignments If you have any questions please don't hesitate to reach out at ccsstax@gmail.com Thank you,where can i find the room assignments?,You can find the room assignments in the latest First Semester update. You can also contact the CCS office if you're unsure.,20/09/2024,0.0002239140170174,0,0,0.01,where can i find the room assignments?,FAQ,
7.0,EYES HERE ALL STUDENTS Your updated First Semester AY 20242025 is out complete with room assignments If you have any questions please don't hesitate to reach out at ccsstax@gmail.com Thank you,who should i contact for more questions about my class schedule?,"If your question is about your schedule, you can reach out to ccsstax@gmail.com. Don't hesitate to ask!",20/09/2024,0.0002239140170174,0,0,0.01,who should i contact for more questions about my class schedule?,FAQ,
8.0,EYES HERE ALL STUDENTS Your updated First Semester AY 20242025 is out complete with room assignments If you have any questions please don't hesitate to reach out at ccsstax@gmail.com Thank you,may deadline ba sa pagtanong about room assignments?,"Wala namang binanggit na deadline sa post, but it’s better to ask as soon as possible. You can send an email or check with the CCS office.",20/09/2024,0.0002239140170174,0,0,0.01,may deadline ba sa pagtanong about room assignments?,FAQ,
9.0,EYES HERE ALL STUDENTS Your updated First Semester AY 20242025 is out complete with room assignments If you have any questions please don't hesitate to reach out at ccsstax@gmail.com Thank you,what should i do if i have questions?,"For any questions about this update, simply send an email to ccsstax@gmail.com. They'll help you out!",20/09/2024,0.0002239140170174,0,0,0.01,what should i do if i have questions?,FAQ,
10.0,URGENT MEETING Calling the attention of all newly elected officers for BSIT and BSCS program we will be having an urgent meeting today at 3:00 PM with Dean Aim D Sky. Join Zoom Meeting: Meeting ID: 989 9807 0130 Passcode: 806127,who is leading the meeting?,Dean Aim D Sky will be leading this meeting.,20/09/2024,0.0002239140170174,0,0,0.01,who is leading the meeting?,FAQ,
11.0,EYES HERE ALL STUDENTS Your updated First Semester AY 20242025 is out complete with room assignments If you have any questions please don't hesitate to reach out at ccsstax@gmail.com Thank you,what is the update about?,The updated First Semester AY 20242025 is now available with room assignments.,20/09/2024,0.0002239140170174,0,0,0.01,what is the update about?,FAQ,
12.0,EYES HERE ALL STUDENTS Your updated First Semester AY 20242025 is out complete with room assignments If you have any questions please don't hesitate to reach out at ccsstax@gmail.com Thank you,is there a deadline to ask questions?,The post does not specify a deadline for questions.,20/09/2024,0.0002239140170174,0,0,0.01,is there a deadline to ask questions?,FAQ,
13.0,Capstone Project Orientation Join Zoom Meeting: Meeting ID: 952 8497 1821 Passcode: 230507,what is the capstone project orientation for?,"The Capstone Project Orientation is to guide students about the upcoming Capstone project. If you have questions, feel free to ask during the session or send an email.",20/09/2024,0.0002239140170174,0,0,0.01,what is the capstone project orientation for?,FAQ,
14.0,Capstone Project Orientation Join Zoom Meeting: Meeting ID: 952 8497 1821 Passcode: 230507,kailan ba ang orientation?,"The post doesn't mention a specific date, so stay tuned for more details. You can always check the announcement board or official CCS Facebook page for updates.",20/09/2024,0.0002239140170174,0,0,0.01,kailan ba ang orientation?,FAQ,
15.0,Capstone Project Orientation Join Zoom Meeting: Meeting ID: 952 8497 1821 Passcode: 230507,will there be a recording of the orientation?,The post doesn’t mention if the orientation will be recorded. Best to check with the organizers directly if you miss the live session.,20/09/2024,0.0002239140170174,0,0,0.01,will there be a recording of the orientation?,FAQ,
16.0,"Calling the attention of the following students please proceed to the Dean's Office: Princess Feb Montealto, Redd Urbina",who should proceed to the dean's office?,Students Princess Feb Montealto and Redd Urbina need to proceed to the Dean’s Office.,20/09/2024,0.0002239140170174,0,0,0.01,who should proceed to the daen's office?,FAQ,
17.0,"Calling the attention of the following students please proceed to the Dean's Office: Princess Feb Montealto, Redd Urbina",is there a specific time to go to the dean's office?,"There’s no specific time mentioned in the post, so it’s best to head there as soon as possible or check for further details.",20/09/2024,0.0002239140170174,0,0,0.01,is there a specific time to go to the daen's office?,FAQ,
18.0,"Calling the attention of the following students please proceed to the Dean's Office: Princess Feb Montealto, Redd Urbina",what if i need more information about this?,"If you need more info, you can ask directly at the Dean’s Office.",20/09/2024,0.0002239140170174,0,0,0.01,what if i need more information about this?,FAQ,
19.0,EYES HERE ALL STUDENTS Your updated First Semester AY 20242025 is out complete with room assignments If you have any questions please don't hesitate to reach out at ccsstax@gmail.com Thank you,where can i find the room assignments?,The room assignments are included in the updated First Semester AY 2024-2025 announcement.,20/09/2024,0.0002239140170174,0,0,0.01,where can i find the room assignments?,FAQ,
20.0,Capstone Project Orientation Join Zoom Meeting: Meeting ID: 952 8497 1821 Passcode: 230507,how can i join the orientation?,Just use Zoom Meeting ID 952 8497 1821 and Passcode 230507 to join the orientation. See you there!,20/09/2024,0.0002239140170174,0,0,0.01,how can i join the orientation?,FAQ,
21.0,URGENT MEETING Calling the attention of all newly elected officers for BSIT and BSCS program we will be having an urgent meeting today at 3:00 PM with Dean Aim D Sky. Join Zoom Meeting: Meeting ID: 989 9807 0130 Passcode: 806127,how can i join the meeting?,You can join the meeting via Zoom using Meeting ID 989 9807 0130 and Passcode 806127. Make sure to have the details ready.,20/09/2024,0.0002239140170174,0,0,0.01,how can i join the meeting?,FAQ,
22.0,"Let's all welcome our new instructor. To all 1st, 2nd, and 3rd year BSIT and BSCS students, the wait is over! Ms. Princess Joy Tuazon is your new instructor for your class starting on Monday. To all presidents of the sections, kindly add Ms. Tuazon to your group chats. Thank you.",who is the new instructor?,The new instructor is Ms. Princess Joy Tuazon. She will be teaching BSIT and BSCS students.,14/09/2024,0.0002239140170174,0,0,0.01,who is the new instructor?,FAQ,
23.0,"Let's all welcome our new instructor. To all 1st, 2nd, and 3rd year BSIT and BSCS students, the wait is over! Ms. Princess Joy Tuazon is your new instructor for your class starting on Monday. To all presidents of the sections, kindly add Ms. Tuazon to your group chats. Thank you.",what should the section presidents do?,Section presidents are requested to add Ms. Tuazon to their group chats.,14/09/2024,0.0002239140170174,0,0,0.01,what should the section presidents do?,FAQ,
24.0,"Let's all welcome our new instructor. To all 1st, 2nd, and 3rd year BSIT and BSCS students, the wait is over! Ms. Princess Joy Tuazon is your new instructor for your class starting on Monday. To all presidents of the sections, kindly add Ms. Tuazon to your group chats. Thank you.",may bagong instructor ba sa bsit at bscs?,"Oo, si Ms. Princess Joy Tuazon ang bagong instructor niyo. She'll start teaching soon.",14/09/2024,0.0002239140170174,0,0,0.01,may bagong instructor ba sa bsit at bscs?,FAQ,
25.0,"Let's all welcome our new instructor. To all 1st, 2nd, and 3rd year BSIT and BSCS students, the wait is over! Ms. Princess Joy Tuazon is your new instructor for your class starting on Monday. To all presidents of the sections, kindly add Ms. Tuazon to your group chats. Thank you.",when will the classes with ms. tuazon start?,Ms. Tuazon's classes will start on Monday. Be sure to be prepared!,14/09/2024,0.0002239140170174,0,0,0.01,when will the classes with ms. tuazon start?,FAQ,
26.0,"Let's all welcome our new instructor. To all 1st, 2nd, and 3rd year BSIT and BSCS students, the wait is over! Ms. Princess Joy Tuazon is your new instructor for your class starting on Monday. To all presidents of the sections, kindly add Ms. Tuazon to your group chats. Thank you.",what if i have more questions about the new instructor?,"If you have more questions about Ms. Tuazon or the class, you can reach out to your section president for more details.",14/09/2024,0.0002239140170174,0,0,0.01,what if i have more questions about the new instructor?,FAQ,
27.0,"CALLING THE ATTENTION OF THE FOLLOWING STUDENTS. PLEASE CONTACT ME REGARDING THE BLS TRAINING ASAP. THANK YOU. John Lawrence A De Leon BSIT 1B, De Guzman Cristine Faye O BSCS 1B, Sarne Andy Gabriel R BSIT 1D.",how can i get more details about the bls training?,"If you are one of the mentioned students, please contact the sender of the post regarding the BLS training.",13/09/2024,0.0002239140170174,0,0,0.01,how can i get more details about the bls training?,FAQ,
28.0,[Facebook link https://www.facebook.com/share/p/h7VUngTgt8vHJEN5/,what is this link about?,Kindly check the Facebook link for more information about the post. You can find the latest update through the provided link.,13/09/2024,0.0002239140170174,0,0,0.01,what is this link about?,FAQ,
29.0,"CALLING THE ATTENTION OF THE FOLLOWING STUDENTS. PLEASE CONTACT ME REGARDING THE BLS TRAINING ASAP. THANK YOU. John Lawrence A De Leon BSIT 1B, De Guzman Cristine Faye O BSCS 1B, Sarne Andy Gabriel R BSIT 1D.",ano ang dapat gawin ng mga nabanggit na estudyante?,"Ang mga estudyanteng sina John Lawrence, Cristine Faye, at Andy Gabriel ay kailangang makipag-ugnayan tungkol sa BLS training.",13/09/2024,0.0002239140170174,0,0,0.01,ano ang dapat gawin ng mga nabanggit na estudyante?,FAQ,
30.0,https://www.facebook.com/share/p/h7VUngTgt8vHJEN5/,where can i find more details about this post?,You can click the link to find more details on the official CCS Facebook page.,13/09/2024,0.0002239140170174,0,0,0.01,where can i find more details about this post?,FAQ,
31.0,"CALLING THE ATTENTION OF THE FOLLOWING STUDENTS. PLEASE CONTACT ME REGARDING THE BLS TRAINING ASAP. THANK YOU. John Lawrence A De Leon BSIT 1B, De Guzman Cristine Faye O BSCS 1B, Sarne Andy Gabriel R BSIT 1D.",what is the announcement about?,The announcement is calling the attention of specific students regarding the BLS training.,13/09/2024,0.0002239140170174,0,0,0.01,what is the announcement about?,FAQ,
32.0,"CALLING THE ATTENTION OF THE FOLLOWING STUDENTS. PLEASE CONTACT ME REGARDING THE BLS TRAINING ASAP. THANK YOU. John Lawrence A De Leon BSIT 1B, De Guzman Cristine Faye O BSCS 1B, Sarne Andy Gabriel R BSIT 1D.",who needs to contact regarding bls training?,"John Lawrence A. De Leon (BSIT 1B), De Guzman Cristine Faye O. (BSCS 1B), and Sarne Andy Gabriel R. (BSIT 1D) are requested to contact regarding the BLS training ASAP.",13/09/2024,0.0002239140170174,0,0,0.01,who needs to contact regarding bls training?,FAQ,
33.0,https://www.facebook.com/share/p/h7VUngTgt8vHJEN5/,is the link official?,"Yes, this is a link from the official CCS Facebook page. Be sure to check the page for any updates.",13/09/2024,0.0002239140170174,0,0,0.01,is the link official?,FAQ,
34.0,https://www.facebook.com/share/p/h7VUngTgt8vHJEN5/,saan naka-link ang post na ito?,Pindutin ang link na ito upang makita ang impormasyon mula sa Facebook page ng CCS.,13/09/2024,0.0002239140170174,0,0,0.01,saan naka-link ang post na ito?,FAQ,
35.0,"Let's all welcome our new instructor! Ms. Kim Airah Alay is your new instructor for GEC 107. To all presidents of the sections, kindly add Ms. Alay to your group chats. Thank you",who is the new instructor for gec 107?,The new instructor for GEC 107 is Ms. Kim Airah Alay.,06/09/2024,0.0002239140170174,0,0,0.01,who is the new instructor for gec 107?,FAQ,
36.0,"Let's all welcome our new instructor! Ms. Kim Airah Alay is your new instructor for GEC 107. To all presidents of the sections, kindly add Ms. Alay to your group chats. Thank you",what should section presidents do?,Section presidents should add Ms. Alay to their group chats.,06/09/2024,0.0002239140170174,0,0,0.01,what should section presidents do?,FAQ,
37.0,"Let's all welcome our new instructor! Ms. Kim Airah Alay is your new instructor for GEC 107. To all presidents of the sections, kindly add Ms. Alay to your group chats. Thank you",when will ms. alay start teaching?,"The post does not mention a specific start date, so please stay updated through your section president or check the official CCS Facebook page.",06/09/2024,0.0002239140170174,0,0,0.01,when will ms. alay start teaching?,FAQ,
38.0,"Let's all welcome our new instructor! Ms. Kim Airah Alay is your new instructor for GEC 107. To all presidents of the sections, kindly add Ms. Alay to your group chats. Thank you",sino ang bagong instructor para sa gec 107?,Si Ms. Kim Airah Alay ang bagong instructor niyo para sa GEC 107. Make sure to welcome her!,06/09/2024,0.0002239140170174,0,0,0.01,sino ang bagong instructor para sa gec 107?,FAQ,
39.0,"Let's all welcome our new instructor! Ms. Kim Airah Alay is your new instructor for GEC 107. To all presidents of the sections, kindly add Ms. Alay to your group chats. Thank you",can i contact the new instructor directly?,"It’s best to communicate through your section president, who will add Ms. Alay to the group chats.",06/09/2024,0.0002239140170174,0,0,0.01,can i contact the new instructor directly?,FAQ,
40.0,"EYES HERE ALL FIRST-YEAR STUDENTS. Subject: First-Year Orientation (August 29, 2024). We kindly request you to open and complete the Parent and Student Orientation Feedback Form to share your thoughts and experiences from the orientation held on August 29, 2024. Your feedback is valuable to us. Thank you for your participation. [Google Forms Link]https://docs.google.com/forms/d/e/1FAIpQLSfhbbCDS3D2Qgp_Yun3w8vOMPAWqZuWghYFVzGDI_oC3AZhrw/viewform.",paano ko makukumpleto ang feedback form?,Pindutin ang Google Forms link sa post at kumpletuhin ang form para ibahagi ang iyong karanasan sa orientation.,05/09/2024,0.0002239140170174,0,0,0.01,paano ko makukumpleto ang feedback form?,FAQ,
